hits,quarter,term,year
0,1,veteran.soldier.military.armedforces AND soldier's heart,2011
0,2,veteran.soldier.military.armedforces AND soldier's heart,2011
0,3,veteran.soldier.military.armedforces AND soldier's heart,2011
0,4,veteran.soldier.military.armedforces AND soldier's heart,2011
0,1,veteran.soldier.military.armedforces AND soldier's heart,2012
0,2,veteran.soldier.military.armedforces AND soldier's heart,2012
0,3,veteran.soldier.military.armedforces AND soldier's heart,2012
0,4,veteran.soldier.military.armedforces AND soldier's heart,2012
0,1,veteran.soldier.military.armedforces AND soldier's heart,2013
2,2,veteran.soldier.military.armedforces AND soldier's heart,2013
0,3,veteran.soldier.military.armedforces AND soldier's heart,2013
0,4,veteran.soldier.military.armedforces AND soldier's heart,2013
0,1,veteran.soldier.military.armedforces AND soldier's heart,2014
0,2,veteran.soldier.military.armedforces AND soldier's heart,2014
1,3,veteran.soldier.military.armedforces AND soldier's heart,2014
0,4,veteran.soldier.military.armedforces AND soldier's heart,2014
0,1,veteran.soldier.military.armedforces AND soldier's heart,2015
0,2,veteran.soldier.military.armedforces AND soldier's heart,2015
0,3,veteran.soldier.military.armedforces AND soldier's heart,2015
0,4,veteran.soldier.military.armedforces AND soldier's heart,2015
