hits,quarter,term,year
0,4,(vets*) AND railway spine,1970
0,1,(vets*) AND railway spine,1971
0,2,(vets*) AND railway spine,1971
0,3,(vets*) AND railway spine,1971
0,4,(vets*) AND railway spine,1971
0,1,(vets*) AND railway spine,1972
0,2,(vets*) AND railway spine,1972
0,3,(vets*) AND railway spine,1972
0,4,(vets*) AND railway spine,1972
0,1,(vets*) AND railway spine,1973
0,2,(vets*) AND railway spine,1973
0,3,(vets*) AND railway spine,1973
0,4,(vets*) AND railway spine,1973
0,1,(vets*) AND railway spine,1974
0,2,(vets*) AND railway spine,1974
0,3,(vets*) AND railway spine,1974
0,4,(vets*) AND railway spine,1974
0,1,(vets*) AND railway spine,1975
0,2,(vets*) AND railway spine,1975
0,3,(vets*) AND railway spine,1975
0,4,(vets*) AND railway spine,1975
0,1,(vets*) AND railway spine,1976
0,2,(vets*) AND railway spine,1976
0,3,(vets*) AND railway spine,1976
0,4,(vets*) AND railway spine,1976
0,1,(vets*) AND railway spine,1977
0,2,(vets*) AND railway spine,1977
0,3,(vets*) AND railway spine,1977
0,4,(vets*) AND railway spine,1977
0,1,(vets*) AND railway spine,1978
0,2,(vets*) AND railway spine,1978
0,3,(vets*) AND railway spine,1978
0,4,(vets*) AND railway spine,1978
0,1,(vets*) AND railway spine,1979
0,2,(vets*) AND railway spine,1979
0,3,(vets*) AND railway spine,1979
0,4,(vets*) AND railway spine,1979
0,1,(vets*) AND railway spine,1980
0,2,(vets*) AND railway spine,1980
0,3,(vets*) AND railway spine,1980
0,4,(vets*) AND railway spine,1980
0,1,(vets*) AND railway spine,1981
0,2,(vets*) AND railway spine,1981
0,3,(vets*) AND railway spine,1981
0,4,(vets*) AND railway spine,1981
0,1,(vets*) AND railway spine,1982
0,2,(vets*) AND railway spine,1982
0,3,(vets*) AND railway spine,1982
0,4,(vets*) AND railway spine,1982
0,1,(vets*) AND railway spine,1983
0,2,(vets*) AND railway spine,1983
0,3,(vets*) AND railway spine,1983
0,4,(vets*) AND railway spine,1983
0,1,(vets*) AND railway spine,1984
0,2,(vets*) AND railway spine,1984
0,3,(vets*) AND railway spine,1984
0,4,(vets*) AND railway spine,1984
0,1,(vets*) AND railway spine,1985
0,2,(vets*) AND railway spine,1985
0,3,(vets*) AND railway spine,1985
0,4,(vets*) AND railway spine,1985
0,1,(vets*) AND railway spine,1986
0,2,(vets*) AND railway spine,1986
0,3,(vets*) AND railway spine,1986
0,4,(vets*) AND railway spine,1986
0,1,(vets*) AND railway spine,1987
0,2,(vets*) AND railway spine,1987
0,3,(vets*) AND railway spine,1987
0,4,(vets*) AND railway spine,1987
0,1,(vets*) AND railway spine,1988
0,2,(vets*) AND railway spine,1988
0,3,(vets*) AND railway spine,1988
0,4,(vets*) AND railway spine,1988
0,1,(vets*) AND railway spine,1989
0,2,(vets*) AND railway spine,1989
0,3,(vets*) AND railway spine,1989
0,4,(vets*) AND railway spine,1989
0,1,(vets*) AND railway spine,1990
0,2,(vets*) AND railway spine,1990
0,3,(vets*) AND railway spine,1990
0,4,(vets*) AND railway spine,1990
0,1,(vets*) AND railway spine,1991
0,2,(vets*) AND railway spine,1991
0,3,(vets*) AND railway spine,1991
0,4,(vets*) AND railway spine,1991
0,1,(vets*) AND railway spine,1992
0,2,(vets*) AND railway spine,1992
0,3,(vets*) AND railway spine,1992
0,4,(vets*) AND railway spine,1992
0,1,(vets*) AND railway spine,1993
0,2,(vets*) AND railway spine,1993
0,3,(vets*) AND railway spine,1993
0,4,(vets*) AND railway spine,1993
0,1,(vets*) AND railway spine,1994
0,2,(vets*) AND railway spine,1994
0,3,(vets*) AND railway spine,1994
0,4,(vets*) AND railway spine,1994
0,1,(vets*) AND railway spine,1995
0,2,(vets*) AND railway spine,1995
0,3,(vets*) AND railway spine,1995
0,4,(vets*) AND railway spine,1995
0,1,(vets*) AND railway spine,1996
0,2,(vets*) AND railway spine,1996
0,3,(vets*) AND railway spine,1996
0,4,(vets*) AND railway spine,1996
0,1,(vets*) AND railway spine,1997
0,2,(vets*) AND railway spine,1997
0,3,(vets*) AND railway spine,1997
0,4,(vets*) AND railway spine,1997
0,1,(vets*) AND railway spine,1998
0,2,(vets*) AND railway spine,1998
0,3,(vets*) AND railway spine,1998
0,4,(vets*) AND railway spine,1998
0,1,(vets*) AND railway spine,1999
0,2,(vets*) AND railway spine,1999
0,3,(vets*) AND railway spine,1999
0,4,(vets*) AND railway spine,1999
0,1,(vets*) AND railway spine,2000
0,2,(vets*) AND railway spine,2000
0,3,(vets*) AND railway spine,2000
0,4,(vets*) AND railway spine,2000
0,1,(vets*) AND railway spine,2001
0,2,(vets*) AND railway spine,2001
0,3,(vets*) AND railway spine,2001
0,4,(vets*) AND railway spine,2001
0,1,(vets*) AND railway spine,2002
0,2,(vets*) AND railway spine,2002
0,3,(vets*) AND railway spine,2002
0,4,(vets*) AND railway spine,2002
0,1,(vets*) AND railway spine,2003
0,2,(vets*) AND railway spine,2003
0,3,(vets*) AND railway spine,2003
0,4,(vets*) AND railway spine,2003
0,1,(vets*) AND railway spine,2004
0,2,(vets*) AND railway spine,2004
0,3,(vets*) AND railway spine,2004
0,4,(vets*) AND railway spine,2004
0,1,(vets*) AND railway spine,2005
0,2,(vets*) AND railway spine,2005
0,3,(vets*) AND railway spine,2005
0,4,(vets*) AND railway spine,2005
0,1,(vets*) AND railway spine,2006
0,2,(vets*) AND railway spine,2006
0,3,(vets*) AND railway spine,2006
0,4,(vets*) AND railway spine,2006
0,1,(vets*) AND railway spine,2007
0,2,(vets*) AND railway spine,2007
0,3,(vets*) AND railway spine,2007
0,4,(vets*) AND railway spine,2007
0,1,(vets*) AND railway spine,2008
0,2,(vets*) AND railway spine,2008
0,3,(vets*) AND railway spine,2008
0,4,(vets*) AND railway spine,2008
0,1,(vets*) AND railway spine,2009
0,2,(vets*) AND railway spine,2009
0,3,(vets*) AND railway spine,2009
0,4,(vets*) AND railway spine,2009
0,1,(vets*) AND railway spine,2010
0,2,(vets*) AND railway spine,2010
0,3,(vets*) AND railway spine,2010
0,4,(vets*) AND railway spine,2010
0,1,(vets*) AND railway spine,2011
0,2,(vets*) AND railway spine,2011
0,3,(vets*) AND railway spine,2011
0,4,(vets*) AND railway spine,2011
0,1,(vets*) AND railway spine,2012
0,2,(vets*) AND railway spine,2012
0,3,(vets*) AND railway spine,2012
0,4,(vets*) AND railway spine,2012
0,1,(vets*) AND railway spine,2013
0,2,(vets*) AND railway spine,2013
0,3,(vets*) AND railway spine,2013
0,4,(vets*) AND railway spine,2013
0,1,(vets*) AND railway spine,2014
0,2,(vets*) AND railway spine,2014
0,3,(vets*) AND railway spine,2014
0,4,(vets*) AND railway spine,2014
0,1,(vets*) AND railway spine,2015
0,2,(vets*) AND railway spine,2015
0,3,(vets*) AND railway spine,2015
0,4,(vets*) AND railway spine,2015
0,1,(vets*) AND railway spine,2016
0,2,(vets*) AND railway spine,2016
0,3,(vets*) AND railway spine,2016
0,4,(vets*) AND railway spine,2016
